artist,song,duration_ms,duration_min,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,primary_genre,secondary_genre,tertiary_genre,
David Guetta,2U (feat. Justin Bieber),194896,3.25,FALSE,2017,67,0.548,0.65,8,-5.827,minor,0.0591,0.219,0,0.225,0.557,144.937,hip hop, pop, dance/electronic,
Migos,Slippery (feat. Gucci Mane),304041,5.07,TRUE,2017,68,0.92,0.675,1,-5.661,minor,0.263,0.307,0,0.104,0.749,141.967,hip hop, pop,,
Shawn Mendes,There's Nothing Holdin' Me Back,199440,3.32,FALSE,2017,0,0.857,0.8,2,-4.035,major,0.0583,0.381,0,0.0913,0.966,121.996,pop,,,
G-Eazy,Good Life (with G-Eazy & Kehlani),225520,3.76,FALSE,2017,63,0.572,0.778,1,-5.208,major,0.233,0.00638,0,0.0563,0.54,168.073,hip hop, pop,,
The Vamps,All Night,197640,3.29,FALSE,2017,73,0.538,0.804,8,-5.194,major,0.0358,0.0041,0,0.33,0.507,144.992,pop,,,
Dua Lipa,New Rules,212000,3.53,FALSE,2017,61,0.763,0.72,9,-5.181,minor,0.0691,0.00261,1.11E-05,0.114,0.592,116.01,pop,,,
Cardi B,Bodak Yellow,223962,3.73,TRUE,2017,59,0.929,0.723,11,-5.792,minor,0.109,0.0672,0,0.346,0.458,125.022,hip hop, pop,,
Rag'n'Bone Man,Skin,239626,3.99,FALSE,2017,67,0.564,0.745,0,-7.733,major,0.31,0.265,0,0.147,0.351,170.661,r&b,,,
Zara Larsson,I Would Like,226720,3.78,FALSE,2017,57,0.486,0.713,2,-3.949,minor,0.0524,0.0853,0,0.0839,0.297,121.028,pop, dance/electronic,,
DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),204173,3.40,TRUE,2017,72,0.671,0.672,0,-3.094,minor,0.0688,0.0329,0,0.118,0.632,97.979,hip hop, pop,,
Post Malone,Congratulations,220293,3.67,TRUE,2016,81,0.63,0.804,6,-4.183,major,0.0363,0.215,0,0.253,0.492,123.146,hip hop,,,
Avicii,Without You (feat. Sandro Cavazza),181672,3.03,TRUE,2017,77,0.662,0.858,2,-4.844,major,0.0428,0.00163,0,0.0456,0.295,133.993,pop, dance/electronic,,
Clean Bandit,Symphony (feat. Zara Larsson),214866,3.58,FALSE,2017,0,0.718,0.609,0,-4.699,minor,0.043,0.281,3.29E-05,0.234,0.497,122.95,pop, dance/electronic,,
Katy Perry,Chained To The Rhythm,237733,3.96,FALSE,2017,69,0.562,0.8,0,-5.404,major,0.112,0.0814,0,0.199,0.471,95.029,pop,,,
Zay Hilfigerrr,Juju on That Beat (TZ Anthem),144244,2.40,FALSE,2016,57,0.807,0.887,1,-3.892,major,0.275,0.00381,0,0.391,0.78,160.517,pop,,,
Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",223413,3.72,TRUE,2017,79,0.893,0.745,11,-3.105,minor,0.0571,0.0642,0,0.0943,0.872,101.018,hip hop, pop, dance/electronic,
Migos,T-Shirt,242407,4.04,TRUE,2017,64,0.865,0.687,10,-3.744,minor,0.217,0.242,0,0.158,0.486,139.023,hip hop, pop,,
OneRepublic,Rich Love (with Seeb),201256,3.35,FALSE,2017,64,0.401,0.872,1,-3.641,minor,0.314,0.167,0,0.362,0.472,104.592,pop,,,
Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,193613,3.23,TRUE,2017,61,0.703,0.868,7,-4.661,minor,0.0291,0.15,0.132,0.104,0.733,121.03,rock, pop,,
Macklemore,Glorious (feat. Skylar Grey),220454,3.67,TRUE,2017,74,0.731,0.794,0,-5.126,minor,0.0522,0.0323,2.59E-05,0.112,0.356,139.994,hip hop, pop,,
Hayden James,NUMB,217296,3.62,TRUE,2019,47,0.617,0.558,10,-7.046,minor,0.0431,0.184,1.03E-06,0.0911,0.4,147.932,pop, dance/electronic,,
Liam Payne,Strip That Down,204502,3.41,FALSE,2017,1,0.869,0.485,6,-5.595,major,0.0545,0.246,0,0.0765,0.527,106.028,pop,,,
Drake,Passionfruit,298940,4.98,TRUE,2017,0,0.809,0.463,11,-11.377,major,0.0396,0.256,0.085,0.109,0.364,111.98,hip hop, pop, r&b,
Justin Bieber,Friends (with BloodPop®),189466,3.16,FALSE,2017,0,0.744,0.739,8,-5.35,major,0.0387,0.00459,0,0.306,0.649,104.99,pop,,,
ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",245200,4.09,FALSE,2016,0,0.735,0.451,0,-8.374,major,0.0585,0.0631,1.30E-05,0.325,0.0862,117.973,pop, dance/electronic,,
Alessia Cara,Scars To Your Beautiful,230226,3.84,FALSE,2016,76,0.319,0.739,0,-5.74,major,0.272,0.0285,0,0.111,0.449,194.169,pop, r&b,,
2 Chainz,It's A Vibe,210200,3.50,TRUE,2017,71,0.822,0.502,7,-7.38,major,0.148,0.0312,0.000887,0.114,0.525,73.003,hip hop, pop,,
Starley,Call on Me - Ryan Riback Remix,222040,3.70,FALSE,2016,48,0.67,0.838,0,-4.031,major,0.0362,0.0605,0.000611,0.159,0.716,105,pop, dance/electronic,,
AJR,Weak,201160,3.35,FALSE,2017,0,0.673,0.637,5,-4.518,major,0.0429,0.137,0,0.184,0.678,123.98,rock,,,
Lana Del Rey,Lust for Life (with The Weeknd),264011,4.40,FALSE,2017,0,0.499,0.676,0,-8.618,minor,0.0582,0.588,0.00484,0.358,0.295,99.979,pop,,,
CNCO,Reggaetón Lento (Remix),188786,3.15,FALSE,2017,0,0.623,0.909,4,-3.079,minor,0.0758,0.158,0,0.0972,0.651,93.984,pop, latin,,
The Vamps,Middle Of The Night,174600,2.91,FALSE,2017,61,0.588,0.749,11,-4.323,minor,0.058,0.0037,0,0.0813,0.397,130.093,pop,,,
The Weeknd,I Feel It Coming,269186,4.49,FALSE,2016,78,0.773,0.819,0,-5.946,minor,0.118,0.428,0,0.0679,0.585,92.987,pop, r&b,,
The Chainsmokers,Paris,221506,3.69,FALSE,2017,73,0.653,0.658,2,-6.428,major,0.0304,0.0215,1.66E-06,0.0939,0.219,99.99,pop, dance/electronic,,
Big Sean,Bounce Back,222360,3.71,TRUE,2017,71,0.78,0.575,1,-5.628,minor,0.139,0.106,0,0.129,0.273,81.502,hip hop, pop,,
Shawn Mendes,Mercy,208733,3.48,FALSE,2017,0,0.561,0.674,4,-4.882,minor,0.0818,0.118,0,0.111,0.383,148.127,pop,,,
Avicii,Lonely Together (feat. Rita Ora),181812,3.03,FALSE,2017,53,0.655,0.666,5,-5.309,major,0.0612,0.134,2.12E-05,0.0683,0.272,102.977,pop, dance/electronic,,
Cheat Codes,No Promises (feat. Demi Lovato),223503,3.73,FALSE,2017,68,0.741,0.667,10,-5.445,major,0.134,0.0575,0,0.106,0.595,112.956,pop, dance/electronic,,
Bruno Mars,24K Magic,225983,3.77,FALSE,2016,78,0.818,0.803,1,-4.282,major,0.0797,0.034,0,0.153,0.632,106.97,pop,,,
Lorde,Homemade Dynamite - REMIX,214254,3.57,TRUE,2017,8,0.781,0.548,0,-4.997,minor,0.0764,0.229,0,0.127,0.175,106.996,pop, dance/electronic,,
Kygo,It Ain't Me (with Selena Gomez),220780,3.68,FALSE,2017,75,0.64,0.533,0,-6.596,major,0.0706,0.119,0,0.0864,0.515,99.968,pop, dance/electronic,,
Drake,God's Plan,198973,3.32,TRUE,2018,81,0.754,0.449,7,-9.211,major,0.109,0.0332,8.29E-05,0.552,0.357,77.169,hip hop, pop, r&b,
Post Malone,rockstar (feat. 21 Savage),218146,3.64,TRUE,2018,83,0.585,0.52,5,-6.136,minor,0.0712,0.124,7.01E-05,0.131,0.129,159.801,hip hop,,,
Offset,Ric Flair Drip (with Metro Boomin),172800,2.88,TRUE,2017,80,0.88,0.428,9,-8.28,major,0.206,0.149,5.05E-05,0.114,0.333,100.007,hip hop, pop,,
G-Eazy,Him & I (with Halsey),268866,4.48,TRUE,2017,75,0.589,0.731,2,-6.343,major,0.0868,0.0534,0,0.308,0.191,87.908,hip hop, pop,,
Dynoro,In My Mind,184560,3.08,FALSE,2018,78,0.694,0.77,6,-5.335,major,0.149,0.176,1.10E-05,0.118,0.163,125.905,pop, dance/electronic,,
Juice WRLD,Lucid Dreams,239835,4.00,TRUE,2018,84,0.511,0.566,6,-7.23,minor,0.2,0.349,0,0.34,0.218,83.903,hip hop,,,
Zedd,The Middle,184732,3.08,FALSE,2018,80,0.753,0.657,7,-3.061,major,0.0449,0.171,0,0.112,0.437,107.01,hip hop, pop, dance/electronic,
Marshmello,FRIENDS,202620,3.38,TRUE,2018,78,0.626,0.88,9,-2.384,minor,0.0504,0.205,0,0.128,0.534,95.079,pop, dance/electronic,,
Cardi B,I Like It,253390,4.22,TRUE,2018,79,0.816,0.726,5,-3.998,minor,0.129,0.099,0,0.372,0.65,136.048,hip hop, pop,,
XXXTENTACION,Moonlight,135090,2.25,TRUE,2018,82,0.921,0.537,9,-5.723,minor,0.0804,0.556,0.00404,0.102,0.711,128.009,hip hop,,,
Ariana Grande,no tears left to cry,205920,3.43,FALSE,2018,77,0.699,0.713,9,-5.507,minor,0.0594,0.04,3.11E-06,0.294,0.354,121.993,pop,,,
Sheck Wes,Mo Bamba,183906,3.07,TRUE,2018,77,0.729,0.625,4,-5.266,major,0.0315,0.194,0.00986,0.248,0.261,146.034,hip hop,,,
Calvin Harris,One Kiss (with Dua Lipa),214846,3.58,FALSE,2018,81,0.791,0.862,9,-3.24,minor,0.11,0.037,2.19E-05,0.0814,0.592,123.994,hip hop, pop, dance/electronic,
Tyga,Taste (feat. Offset),232959,3.88,TRUE,2018,73,0.884,0.559,0,-7.442,major,0.12,0.0236,0,0.101,0.342,97.994,hip hop, pop,,
Travis Scott,SICKO MODE,312820,5.21,TRUE,2018,81,0.834,0.73,8,-3.714,major,0.222,0.00513,0,0.124,0.446,155.008,hip hop, dance/electronic,,
Imagine Dragons,Natural,189466,3.16,FALSE,2018,80,0.704,0.611,2,-6.112,major,0.0409,0.217,0,0.0812,0.22,100,rock,,,
DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",212500,3.54,TRUE,2018,76,0.842,0.801,8,-4.167,minor,0.228,0.157,4.82E-06,0.0642,0.617,95.881,hip hop, pop, dance/electronic,
Marshmello,Spotlight,177600,2.96,FALSE,2018,71,0.546,0.822,7,-4.483,major,0.151,0.0145,0,0.742,0.615,150.06,pop, dance/electronic,,
The Weeknd,Pray For Me (with Kendrick Lamar),211440,3.52,TRUE,2018,69,0.735,0.677,2,-4.979,major,0.093,0.0762,2.17E-05,0.111,0.188,100.584,pop, r&b,,
Billie Eilish,lovely (with Khalid),200185,3.34,FALSE,2018,86,0.351,0.296,4,-10.109,minor,0.0333,0.934,0,0.095,0.12,115.284,pop, dance/electronic,,
Migos,Walk It Talk It,276147,4.60,TRUE,2018,75,0.907,0.633,2,-5.145,major,0.184,0.0876,2.60E-06,0.106,0.395,145.914,hip hop, pop,,
Clean Bandit,Solo (feat. Demi Lovato),222653,3.71,FALSE,2018,71,0.737,0.636,11,-4.546,minor,0.0437,0.0441,6.66E-05,0.35,0.565,105.005,pop, dance/electronic,,
Drake,Nonstop,238614,3.98,TRUE,2018,77,0.912,0.412,7,-8.074,major,0.123,0.0165,0.0126,0.104,0.423,154.983,hip hop, pop, r&b,
6ix9ine,FEFE,179404,2.99,TRUE,2018,42,0.931,0.387,1,-9.127,major,0.412,0.088,0,0.136,0.376,125.978,hip hop,,,
The Weeknd,Call Out My Name,228373,3.81,FALSE,2018,80,0.461,0.593,1,-4.954,major,0.0356,0.17,0,0.307,0.175,134.17,pop, r&b,,
Nio Garcia,Te Boté - Remix,417920,6.97,TRUE,2018,76,0.903,0.675,11,-3.445,minor,0.214,0.542,1.28E-05,0.0595,0.442,96.507,latin,,,
Migos,MotorSport,303076,5.05,TRUE,2018,72,0.904,0.518,2,-5.32,major,0.183,0.0305,0,0.325,0.188,137.996,hip hop, pop,,
Nicky Jam,X,172854,2.88,FALSE,2019,74,0.594,0.749,9,-5.298,minor,0.056,0.0338,0.00106,0.3,0.694,179.968,latin,,,
XXXTENTACION,SAD!,166605,2.78,TRUE,2018,82,0.74,0.613,8,-4.88,major,0.145,0.258,0.00372,0.123,0.473,75.023,hip hop,,,
Becky G,Sin Pijama,188560,3.14,FALSE,2018,69,0.791,0.745,11,-3.695,minor,0.0464,0.354,2.93E-05,0.104,0.82,94.014,pop, latin,,
Machine Gun Kelly,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",202804,3.38,FALSE,2017,71,0.653,0.718,3,-5.232,minor,0.213,0.00413,0,0.0537,0.216,82.034,hip hop, pop,,
6ix9ine,GUMMO,157643,2.63,TRUE,2018,63,0.66,0.775,2,-4.926,major,0.172,0.0553,0,0.129,0.635,157.036,hip hop,,,
Jax Jones,Breathe,207629,3.46,FALSE,2017,58,0.722,0.744,11,-5.52,minor,0.0363,0.0234,0.000157,0.143,0.686,125.985,hip hop, pop, dance/electronic,
The Chainsmokers,Sick Boy,193200,3.22,FALSE,2018,69,0.663,0.577,11,-7.518,minor,0.0531,0.109,0,0.12,0.454,89.996,pop, dance/electronic,,
Jay Rock,"King's Dead (with Kendrick Lamar, Future & James Blake)",229670,3.83,TRUE,2018,71,0.645,0.705,1,-5.008,major,0.299,0.000813,0,0.128,0.376,137.133,hip hop, pop,,
Rich The Kid,Plug Walk,175229,2.92,TRUE,2018,72,0.876,0.519,11,-6.531,major,0.143,0.202,0,0.108,0.158,94.981,hip hop, pop,,
Kendrick Lamar,All The Stars (with SZA),232186,3.87,TRUE,2018,80,0.698,0.633,8,-4.946,major,0.0597,0.0605,0.000194,0.0926,0.552,96.924,hip hop,,,
Logic,Everyday,204746,3.41,TRUE,2018,69,0.667,0.741,1,-4.099,major,0.0378,0.0425,0,0.0761,0.422,149.908,hip hop, pop,,
Jason Derulo,Tip Toe (feat. French Montana),187521,3.13,FALSE,2017,64,0.845,0.709,10,-4.547,minor,0.0714,0.0233,0,0.094,0.62,98.062,hip hop, pop,,
Ariana Grande,God is a woman,197546,3.29,TRUE,2018,78,0.602,0.658,1,-5.934,major,0.0558,0.0233,6.00E-05,0.237,0.268,145.031,pop,,,
Rae Sremmurd,Powerglide (feat. Juicy J) - From SR3MM,332300,5.54,TRUE,2018,66,0.713,0.831,1,-4.75,minor,0.15,0.0168,0,0.118,0.584,173.948,hip hop, pop,,
EO,German,170825,2.85,FALSE,2018,67,0.862,0.583,8,-6.26,minor,0.0654,0.811,1.86E-05,0.191,0.852,103.019,pop,,,
Dennis Lloyd,Nevermind,156600,2.61,FALSE,2017,74,0.6,0.688,5,-8.339,minor,0.201,0.159,1.29E-05,0.409,0.0793,99.977,pop,,,
girl in red,we fell in love in october,184153,3.07,FALSE,2018,82,0.566,0.366,7,-12.808,major,0.028,0.113,0.181,0.155,0.237,129.959,pop, rock, dance/electronic,
Selena Gomez,Wolves,197993,3.30,FALSE,2017,78,0.724,0.804,11,-4.614,minor,0.0448,0.124,0,0.204,0.306,124.987,pop,,,
Tiësto,Jackie Chan,215759,3.60,TRUE,2018,72,0.747,0.834,3,-2.867,minor,0.045,0.374,0,0.0586,0.687,128.005,pop, dance/electronic,,
Tom Walker,Leave a Light On,185863,3.10,FALSE,2017,70,0.586,0.624,5,-5.946,major,0.113,0.0153,1.78E-06,0.133,0.267,68.976,rock, pop,,
Sofía Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",201526,3.36,FALSE,2018,65,0.792,0.895,1,-3.112,minor,0.0589,0.165,0,0.0501,0.794,94.968,pop, latin,,
Marshmello,Silence,180822,3.01,FALSE,2017,80,0.52,0.761,4,-3.093,major,0.0853,0.256,4.96E-06,0.17,0.286,141.971,pop, dance/electronic,,
5 Seconds of Summer,Youngblood,203417,3.39,FALSE,2018,69,0.596,0.854,7,-5.114,minor,0.463,0.0169,0,0.124,0.152,120.274,pop,,,
Loud Luxury,Body (feat. brando),163216,2.72,FALSE,2017,0,0.752,0.764,1,-4.399,major,0.038,0.0476,9.44E-05,0.0543,0.582,121.958,pop, dance/electronic,,
Liam Payne,For You (Fifty Shades Freed) (& Rita Ora),245453,4.09,FALSE,2018,62,0.541,0.787,2,-4.618,minor,0.0331,0.0167,0,0.157,0.2,113,pop,,,
NF,Let You Down,212120,3.54,FALSE,2017,79,0.662,0.714,5,-5.68,minor,0.121,0.312,0,0.179,0.464,147.997,hip hop, pop,,
XXXTENTACION,changes,121886,2.03,FALSE,2018,79,0.669,0.308,11,-10.068,major,0.029,0.883,0,0.0984,0.52,64.934,hip hop,,,
Maluma,Corazón (feat. Nego do Borel),184720,3.08,FALSE,2018,69,0.722,0.738,9,-6.073,minor,0.247,0.328,1.47E-05,0.198,0.748,198.075,latin,,,
Cardi B,Bodak Yellow,223712,3.73,TRUE,2018,72,0.926,0.703,11,-6.337,minor,0.103,0.0659,0,0.231,0.485,125.022,hip hop, pop,,
Lil Baby,Yes Indeed,142273,2.37,TRUE,2018,79,0.963,0.346,5,-9.309,minor,0.53,0.0355,0,0.108,0.562,119.957,hip hop,,,
Jonas Blue,Rise,194407,3.24,FALSE,2018,70,0.687,0.785,1,-4.65,major,0.0333,0.327,0,0.203,0.655,106.046,pop, dance/electronic,,
David Guetta,Flames,194680,3.24,FALSE,2018,59,0.631,0.649,5,-5.892,minor,0.0385,0.0817,3.80E-06,0.0934,0.421,93.95,hip hop, pop, dance/electronic,
Ozuna,Vaina Loca,176133,2.94,FALSE,2018,72,0.754,0.805,6,-4.249,major,0.0752,0.315,0,0.203,0.555,93.982,latin,,,
Charlie Puth,How Long,200853,3.35,FALSE,2018,72,0.845,0.561,1,-5.253,minor,0.0778,0.211,3.49E-06,0.0383,0.811,109.974,pop,,,
Post Malone,Better Now,231266,3.85,TRUE,2018,80,0.68,0.578,10,-5.804,major,0.04,0.331,0,0.135,0.341,145.038,hip hop,,,
BlocBoy JB,Look Alive (feat. Drake),181263,3.02,TRUE,2018,73,0.922,0.581,10,-7.495,major,0.27,0.00104,5.86E-05,0.105,0.595,140.022,hip hop, pop,,
Eminem,River (feat. Ed Sheeran),221013,3.68,TRUE,2017,72,0.748,0.749,8,-5.916,minor,0.516,0.142,0,0.0713,0.659,90.09,hip hop,,,
Marshmello,Happier,214289,3.57,FALSE,2018,82,0.687,0.792,5,-2.749,major,0.0452,0.191,0,0.167,0.671,100.015,pop, dance/electronic,,
Dean Lewis,Be Alright,196373,3.27,TRUE,2018,79,0.553,0.586,11,-6.319,major,0.0362,0.697,0,0.0813,0.443,126.684,pop,,,
Charlie Puth,Done for Me (feat. Kehlani),180493,3.01,FALSE,2018,67,0.856,0.632,6,-3.692,minor,0.074,0.193,0,0.0688,0.697,112.009,pop,,,
Migos,Stir Fry,190288,3.17,TRUE,2018,72,0.817,0.816,2,-5.402,major,0.269,0.00263,0,0.159,0.508,181.982,hip hop, pop,,
YG,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",237240,3.95,TRUE,2018,68,0.745,0.346,1,-7.709,major,0.331,0.00552,0,0.0881,0.112,203.911,hip hop, pop,,
Drake,In My Feelings,217925,3.63,TRUE,2018,75,0.835,0.626,1,-5.833,major,0.125,0.0589,6.00E-05,0.396,0.35,91.03,hip hop, pop, r&b,
B Young,Jumanji,173153,2.89,FALSE,2018,60,0.791,0.473,10,-9.86,minor,0.25,0.279,0,0.0959,0.603,95.948,hip hop, dance/electronic,,
Charlie Puth,The Way I Am,186080,3.10,FALSE,2018,64,0.755,0.769,10,-5.658,minor,0.186,0.314,2.38E-06,0.0628,0.642,114.966,pop,,,
Reik,Me Niego (feat. Ozuna & Wisin),221653,3.69,FALSE,2018,1,0.777,0.779,0,-4.449,minor,0.0972,0.0543,0,0.636,0.768,94.023,pop, latin,,
benny blanco,Eastside (with Halsey & Khalid),173799,2.90,FALSE,2018,75,0.56,0.68,6,-7.648,minor,0.321,0.555,0,0.116,0.319,89.391,hip hop, pop,,
Luis Fonsi,Échame La Culpa,173720,2.90,FALSE,2017,62,0.733,0.892,0,-3.641,major,0.0417,0.0376,0,0.137,0.675,95.989,pop, latin,,
MK,17,196489,3.27,FALSE,2017,65,0.703,0.832,0,-7.202,minor,0.0689,0.00149,0.127,0.0696,0.667,122.029,pop, dance/electronic,,
Rita Ora,Anywhere,215064,3.58,FALSE,2017,63,0.628,0.797,11,-3.953,minor,0.0596,0.0364,0,0.104,0.321,106.93,hip hop, pop, dance/electronic,
Banx & Ranx,Answerphone (feat. Yxng Bane),190920,3.18,FALSE,2018,56,0.671,0.834,1,-3.928,minor,0.0885,0.0387,0,0.454,0.454,113.021,dance/electronic,,,
Ella Mai,Trip,213993,3.57,FALSE,2018,72,0.477,0.61,11,-5.628,minor,0.144,0.225,0,0.107,0.358,79.882,hip hop, pop, r&b,
Daddy Yankee,Dura,200480,3.34,FALSE,2018,71,0.783,0.84,1,-3.416,major,0.051,0.174,0,0.412,0.839,95.001,latin,,,
DJ Khaled,No Brainer,260000,4.33,TRUE,2018,67,0.552,0.76,0,-4.706,major,0.342,0.0733,0,0.0865,0.639,135.702,hip hop, pop,,
Anne-Marie,2002,186986,3.12,FALSE,2018,80,0.697,0.683,1,-2.881,minor,0.117,0.0372,0,0.137,0.603,96.133,pop, dance/electronic,,
Bruno Mars,Finesse - Remix; feat. Cardi B,217288,3.62,FALSE,2017,74,0.704,0.859,5,-4.877,minor,0.0996,0.0185,0,0.0215,0.926,105.115,pop,,,
FINNEAS,Let's Fall in Love for the Night,190348,3.17,TRUE,2018,71,0.737,0.408,5,-7.941,major,0.104,0.802,0,0.171,0.374,127.921,rock, pop, dance/electronic,
Hugh Jackman,The Greatest Show,302146,5.04,FALSE,2017,72,0.417,0.824,11,-7.36,minor,0.105,0.000239,0.0545,0.0725,0.4,157.92,easy listening,,,
Halsey,Bad At Love,181279,3.02,FALSE,2017,72,0.675,0.751,0,-3.539,major,0.0296,0.0604,0,0.0893,0.612,118.384,pop, dance/electronic,,
Drake,I'm Upset,214466,3.57,TRUE,2018,68,0.899,0.586,11,-7.866,minor,0.343,0.279,0,0.0836,0.492,150.002,hip hop, pop, r&b,
Camila Cabello,Never Be the Same,226973,3.78,FALSE,2018,74,0.637,0.713,0,-4.333,major,0.0747,0.181,0.000637,0.137,0.243,129.923,pop,,,
M.O,Bad Vibe,214253,3.57,FALSE,2018,54,0.813,0.701,10,-4.428,major,0.0449,0.178,0,0.0962,0.758,110.009,pop, dance/electronic,,
Dua Lipa,IDGAF,217946,3.63,TRUE,2017,78,0.836,0.544,7,-5.975,major,0.0943,0.0403,0,0.0824,0.51,97.028,pop,,,
Cashmere Cat,Miss You (with Major Lazer & Tory Lanez),186231,3.10,FALSE,2018,56,0.747,0.641,1,-4.502,major,0.0925,0.25,0.00107,0.106,0.453,100.028,pop, rock,,
Bazzi,Mine,131064,2.18,TRUE,2018,75,0.71,0.789,4,-3.874,major,0.0722,0.0161,2.77E-06,0.451,0.717,142.929,pop, dance/electronic,,
Lil Dicky,Freaky Friday (feat. Chris Brown),216631,3.61,TRUE,2018,70,0.755,0.599,8,-5.042,major,0.224,0.147,0,0.109,0.755,133.123,hip hop, pop,,
Lauv,I Like Me Better,197436,3.29,FALSE,2018,81,0.752,0.505,9,-7.621,major,0.253,0.535,2.55E-06,0.104,0.419,91.97,pop, dance/electronic,,
The Chainsmokers,This Feeling,197946,3.30,FALSE,2018,73,0.575,0.571,1,-7.906,major,0.0439,0.0558,0,0.0912,0.449,105.049,pop, dance/electronic,,
Maroon 5,Girls Like You (feat. Cardi B) - Cardi B Version,235545,3.93,TRUE,2018,73,0.851,0.541,0,-6.825,major,0.0505,0.568,0,0.13,0.448,124.959,pop,,,
Khalid,Love Lies (with Normani),201707,3.36,FALSE,2018,73,0.708,0.648,6,-5.626,major,0.0449,0.0956,0,0.134,0.338,143.955,pop, r&b,,
Drake,Nice For What,210746,3.51,TRUE,2018,77,0.585,0.909,8,-6.474,major,0.0707,0.0891,9.70E-05,0.119,0.758,93.372,hip hop, pop, r&b,
Kendrick Lamar,LOVE. FEAT. ZACARI.,213400,3.56,TRUE,2017,80,0.8,0.585,10,-7.343,major,0.0924,0.264,0,0.153,0.779,126.058,hip hop,,,
Post Malone,Psycho (feat. Ty Dolla $ign),221440,3.69,TRUE,2018,77,0.75,0.56,8,-8.094,major,0.105,0.546,0,0.111,0.459,140.06,hip hop,,,
Lil Nas X,Old Town Road - Remix,157066,2.62,FALSE,2019,79,0.878,0.619,6,-5.56,major,0.102,0.0533,0,0.113,0.639,136.041,hip hop, pop,,
Billie Eilish,bad guy,194087,3.23,FALSE,2019,83,0.701,0.425,7,-10.965,major,0.375,0.328,0.13,0.1,0.562,135.128,pop, dance/electronic,,
Shawn Mendes,Señorita,190799,3.18,FALSE,2019,78,0.759,0.548,9,-6.049,minor,0.029,0.0392,0,0.0828,0.749,116.967,pop,,,
Ariana Grande,7 rings,178626,2.98,TRUE,2019,83,0.778,0.317,1,-10.732,minor,0.334,0.592,0,0.0881,0.327,140.048,pop,,,
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,157560,2.63,FALSE,2019,79,0.755,0.522,2,-4.368,major,0.0575,0.533,0,0.0685,0.925,89.96,hip hop,,,
Gesaffelstein,Lost in the Fire (feat. The Weeknd),202093,3.37,TRUE,2019,84,0.658,0.671,2,-12.21,major,0.0363,0.0933,0.000927,0.115,0.166,100.966,dance/electronic,,,
Halsey,Without Me,201660,3.36,TRUE,2018,77,0.752,0.488,6,-7.05,major,0.0705,0.297,9.11E-06,0.0936,0.533,136.041,pop, dance/electronic,,
Regard,Ride It,157605,2.63,FALSE,2019,81,0.88,0.751,7,-4.258,minor,0.0874,0.177,6.43E-05,0.106,0.884,117.948,pop, dance/electronic,,
Lady Gaga,Shallow,215733,3.60,FALSE,2018,82,0.572,0.385,7,-6.362,major,0.0308,0.371,0,0.231,0.323,95.799,pop,,,
Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),217466,3.62,FALSE,2018,79,0.601,0.794,7,-5.844,minor,0.0671,0.00987,1.36E-06,0.388,0.244,114.066,pop,,,
Lewis Capaldi,Someone You Loved,182160,3.04,FALSE,2019,84,0.501,0.405,1,-5.679,major,0.0319,0.751,0,0.105,0.446,109.891,pop,,,
Jax Jones,All Day And Night,169303,2.82,FALSE,2019,60,0.585,0.782,1,-4.101,minor,0.0897,0.269,0,0.156,0.521,121.908,hip hop, pop, dance/electronic,
Mustard,Pure Water (with Migos),192470,3.21,TRUE,2019,75,0.682,0.559,0,-5.545,major,0.127,0.174,0,0.344,0.137,202.015,hip hop, pop,,
NLE Choppa,Shotta Flow (feat. Blueface) [Remix],176631,2.94,TRUE,2019,0,0.894,0.511,2,-4.768,major,0.42,0.0251,0,0.14,0.568,120.08,hip hop,,,
Kodak Black,ZEZE (feat. Travis Scott & Offset),228759,3.81,TRUE,2018,77,0.861,0.603,8,-5.788,minor,0.176,0.0521,0,0.0924,0.504,98.043,hip hop,,,
Daddy Yankee,Con Calma,193226,3.22,FALSE,2019,79,0.737,0.86,8,-2.652,minor,0.0593,0.11,1.94E-06,0.0574,0.656,93.989,latin,,,
Alec Benjamin,Let Me Down Slowly,169353,2.82,FALSE,2018,82,0.652,0.557,1,-5.714,minor,0.0318,0.74,0,0.124,0.483,150.073,rock, pop, dance/electronic,
BLACKPINK,Kill This Love,189052,3.15,FALSE,2019,1,0.738,0.861,2,-4.141,major,0.237,0.318,0.00182,0.325,0.58,131.98,pop,,,
Offset,Clout (feat. Cardi B),205803,3.43,TRUE,2019,68,0.919,0.622,1,-7.384,major,0.0997,0.228,4.24E-06,0.122,0.424,140.022,hip hop, pop,,
